2024-08-28T15:48:27+08:00
Carpark Number,Total Lots,Lots Available,Address
DRM5,84,42,BLOCK 110 DEPOT ROAD
SD11,82,42,BLK 63 SIMS PLACE
HG9,247,43,BLK 201-204 HOUGANG STREET 21
Q8,149,43,BLK 19/23A/23B QUEENS CLOSE
T58,99,43,BLK 872A TAMPINES STREET 86
K10,96,43,BLK 28,30,32,34,36 CASSIA CRESCENT
TP15,85,43,BLK 53 TO 55 LORONG 5 TOA PAYOH
PDW7,171,44,BLK 768 WOODLANDS AVE 6
B48B,73,44,BLK 547C BEDOK NORTH AVENUE 1
BJMP,60,44,BLK 259B BANGKIT ROAD
SE5L,59,44,BLK 150 SERANGOON NORTH AVENUE 2
MR6,105,45,BLK 8 FRENCH ROAD
MR7,105,45,BLK 801/802 FRENCH ROAD
HE9,89,45,BLK 118/119 BUKIT MERAH VIEW
T41,202,46,BLK 821/829 TAMPINES STREET 81
C11,134,46,BLK 321-322,324-326 CLEMENTI AVENUE 5
H4,102,46,BLK 22 HAVELOCK ROAD
Y33,101,46,BLK 602-605 YISHUN STREET 61
PR14,84,46,BLK 557-562 PASIR RIS STREET 51
A100,64,46,BLK 650 ANG MO KIO STREET 61
U24T,46,46,BLK 333/334 BUKIT BATOK WEST AVENUE 4
CC12,131,47,BLK 11 CHAI CHEE ROAD
TPM,384,48,BLK 1/6 TANJONG PAGAR MSCP
MP14,60,49,BLK 81/82 MARINE PARADE ROAD
SK48,50,50,BLK 321 ANCHORVALE DRIVE
SK61,10,50,BLK 406 FERNVALE ROAD
AV1,277,51,BLK 120/120A/121-127 ALEXANDRA VILLAGE
KB12,181,51,BLK 22/24 SERANGOON ROAD
BM13,143,51,BLK 44/47 LENGKOK BAHRU
HG31,85,51,BLK 414-416 HOUGANG AVENUE 10
Q84,256,52,BLK 2/4/6/31/32 HOLLAND CLOSE
GE5,253,52,BLK 129-134 GEYLANG EAST AVENUE 1/2
KEM1,200,52,BLK 671 KLANG LANE
A37,193,52,BLK 446/449/453 ANG MO KIO STREET 43
CK18,98,52,BLK 130/132 CHOA CHU KANG AVENUE 1
K19,96,52,BLK 62 DAKOTA CRESCENT
EPM,286,53,BLK 6A EVERTON ROAD
BE7,119,53,BLK 139-144 BISHAN STREET 12
KJ2,104,53,BLK 49/50 DORSET ROAD
DRM4,104,53,BLK 105 DEPOT ROAD
M35,91,53,BLK 41 TO 42 CIRCUIT ROAD
BRB1,168,54,BLK 665 BUFFALO ROAD BASEMENT CAR PARK
W10,116,54,BLK 4/5 MARSILING ROAD
T47A,88,54,BLK 864B TAMPINES STREET 83
TB8,85,54,BLK 30/31 TELOK BLANGAH RISE
A71,185,55,BLK 628/632 ANG MO KIO STREET 61
TM56,171,55,
C22M,188,56,BLK 109A CLEMENTI STREET 11
U38,115,56,BLK 185/187 BUKIT BATOK WEST AVENUE 6
BJ11,100,56,BLK 242-245 BUKIT PANJANG RING ROAD
TP10,83,56,BLK 68 LORONG 5 TOA PAYOH
PP4,166,58,BLK 121 TO 133 POTONG PASIR AVENUE 1
TW1,108,58,BLK 25/26 TECK WHYE LANE
AM32,91,58,BLK 255A ANG MO KIO STREET 21
BJ31,88,58,BLK 513A JELAPANG ROAD
H8,82,58,BLKS 4-8 TAMAN HO SWEE
UBK2,287,59,BLK 11/15/18 UPPER BOON KENG
HG22,116,59,BLK 154-157 HOUGANG STREET 11
B8,113,59,BLK 201/203 BEDOK NORTH STREET 1
KM5,112,59,BLK 37 PINE LANE
Q67,81,59,BLK 116-118 COMMONWEALTH CRESCENT
TRM,77,59,BLK 14A KAMPONG ARANG ROAD
BL3,196,60,BLK 174/179 BOON LAY DRIVE
TB6,133,60,BLK 27/33 TELOK BLANGAH WAY
SPS,98,60,BLK 101/102 SPOTTISWOODE PARK CAR PARK
TP20,90,60,BLK 158-161/163/168-174 LORONG 1 TOA PAYOH
HLM,583,61,BLK 533A HONG LIM MSCP
CSM,260,61,BLK 54 CHIN SWEE ROAD MSCP
B14,208,61,BLK 412/413 BEDOK NORTH AVENUE 2
BR6,131,61,BLK 92 WHAMPOA DRIVE
U71,89,61,BLK 113C BUKIT BATOK WEST AVENUE 6
CV3,86,61,BLK 5 CHANGI VILLAGE ROAD
Q85,148,62,NORTH BUONA VISTA ROAD
A9,146,62,BLK 202/203 ANG MO KIO STREET 22
